tract,Name,Household_Income_rP_gP_p25
12086007801,"Miami, FL",62919
12086007503,"Riviera, Coral Gables, FL",58625
12086006705,"Brickell, Miami, FL",53243
12086007501,"Riviera, Coral Gables, FL",52071
12086007807,"Pinecrest, FL",49877
12086006102,"Coral Gables Section, Coral Gables, FL",49408
12086007901,"Riviera, Coral Gables, FL",48562
12086008102,"Pinecrest, FL",48421
12086003906,"La Gorce, Miami Beach, FL",47469
12086008101,"Pinecrest, FL",46248
12086004607,"Key Biscayne, FL",45274
12086006101,"Granada, Coral Gables, FL",45015
12086007605,"Miami, FL",44016
12086007902,"Miami, FL",43889
12086006503,"Coral Way, Miami, FL",43774
12086006801,"Northeast Coconut Grove, Miami, FL",43329
12086006802,"Northeast Coconut Grove, Miami, FL",43239
12086007400,"Riviera, Coral Gables, FL",42877
12086007702,"Miami, FL",42855
12086004602,"Key Biscayne, FL",42713
12086006707,"Brickell, Miami, FL",42606
12086004102,"Venetian Islands, Miami Beach, FL",42331
12086004605,"Key Biscayne, FL",41741
12086007701,"Miami, FL",40928
12086004701,"Miami Springs, FL",40872
12086004106,"Bayshore, Miami Beach, FL",40681
12086007806,"Pinecrest, FL",40626
12086004000,"Nautilus, Miami Beach, FL",40564
12086006002,"Miami, FL",40519
12086005600,"Flagami, Coral Gables, FL",40427
12086490100,"Flagami, Miami, FL",40162
12086004608,"Miami, FL",40149
12086006714,"Brickell, Miami, FL",39892
12086007604,"South Miami, FL",39890
12086005901,"West Miami, FL",39866
12086007705,"Miami, FL",39825
12086006001,"Miami, FL",39745
12086005802,"Flagami, Miami, FL",39709
12086007601,"Miami, FL",39555
12086004902,"Flagami, Miami, FL",39350
12086000804,"Hialeah, FL",39177
12086003922,"Mid-Beach, Miami, FL",39169
12086005903,"Miami, FL",39022
12086000708,"Hialeah, FL",39001
12086000706,"Hialeah, FL",38784
12086006900,"Coral Way, Miami, FL",38637
12086007104,"Coconut Grove, Miami, FL",38529
12086008000,"Old Cutler, Coral Gables, FL",38475
12086000607,"Hialeah, FL",38214
12086007001,"Coral Way, Miami, FL",38175
12086000707,"Hialeah, FL",38146
12086006206,"Coral Gables Section, Coral Gables, FL",37965
12086005902,"Miami, FL",37887
12086005502,"Little Havana, Miami, FL",37824
12086003914,"North Beach, Miami Beach, FL",37679
12086007002,"Coral Way, Miami, FL",37623
12086005801,"Flagami, Coral Gables, FL",37592
12086006702,"Brickell, Miami, FL",37578
12086004702,"Miami Springs, FL",37479
12086007300,"Coconut Grove, Miami, FL",37373
12086006302,"Coral Way, Miami, FL",37367
12086000705,"Hialeah, FL",37317
