X,Y,OBJECTID,FOLIO,ID,NAME,GSRATING,CAMPUS,ADDRESS,UNIT,CITY,ZIPCODE,PHONE,TYPE,GRADES,CAPACITY,ENROLLMNT,REGION,LAT,LON,POINT_X,POINT_Y,CREATEDBY,CREATEDDATE,MODIFIEDBY,MODIFIEDDATE
-8921085.47,2987969.181,362,6.2222E+11,9071,Academy for Advanced Academics – North,,Biscayne Bay Campus,3000 NE 151ST ST,Rm AC1-395,North Miami,33181,305-919-4450,SPC,12-Nov,0,0, ,25.91024,-80.13947,939028.4542,573996.8816,,1970/01/01 00:00:00+00,ABREUI,2017/01/24 09:16:44+00
-8947529.135,2969148.459,363,3.04007E+12,9071,Academy for Advanced Academics – South,,Modesto Maidique,11200 SW 8TH ST , VH 130,Miami-Dade,33199,305-348-7041,SPC,12-Nov,0,0, ,25.75807,-80.37702,861204.7206,518246.4615,,1970/01/01 00:00:00+00,ABREUI,2017/01/10 14:16:17+00
-8928361.064,2970691.177,183,1.0202E+11,3191,Ada Merritt K-8 Center,10, ,660 SW 3RD ST, ,Miami,33130,305-326-0791,E,K-8,707,725,C,25.77055,-80.20483,917851.1557,523087.6148,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:49:32+00
-8931294.827,2977533.804,33,3.03115E+12,4071,Agenoria S. Paschal/ Olinda Elementary School,3, ,5536 NW 21ST AVE, ,Miami-Dade,33142,305-633-0308,E,PK-5,560,389,C,25.82589,-80.23118,909060.3123,543151.0511,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:08:20+00
-8949939.148,2939111.393,189,3.06935E+12,41,Air Base K-8 Center for International Education,10, ,12829 SW 272ND ST, ,Miami-Dade,33032,305-258-3676,E,PK-6,852,1010,S,25.51481,-80.39867,854480.6673,429798.8117,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:09:55+00
-8921927.979,2988740.156,265,6.2216E+11,7048,Alonzo and Tracy Mourning Senior High,5,Biscayne Bay,2601 NE 151ST ST, ,North Miami,33160,305-919-2000,S,12-Sep,1445,1557,N,25.91647,-80.14704,936525.8235,576244.878,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:54:54+00
-8935421.172,2983838.431,434,4.2132E+11,1521,Amelia Earhart Elementary,5, ,5987 E 7TH AVE, ,Hialeah,33013,305-688-9619,E,PK-5,518,442,N,25.87686,-80.26825,896763.7465,561606.5793,ABREUI,2018/05/31 09:31:58+00,T0140179,2018/09/27 09:13:05+00
-8939903.012,2991605.111,260,3.02012E+12,7011,American Senior High,3, ,18350 NW 67TH AVE, ,Miami-Dade,33015,305-557-3770,S,12-Sep,2182,2193,N,25.93962,-80.30851,883405.3158,584344.9745,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:58:58+00
-8939797.322,2991579.061,261,3.02012E+12,7012,American Senior High Adult Education,, ,18350 NW 67TH AVE, ,Miami-Dade,33015,305-557-3770,O, ,0,0, ,25.93941,-80.30756,883717.7351,584270.1355,,1970/01/01 00:00:00+00,ABREUI,2016/12/13 11:13:36+00
-8927734.584,2994899.699,259,3.41136E+12,6023,Andover Middle,3, ,121 NE 207TH ST, ,Miami Gardens,33179,305-654-2727,M,8-Jun,1239,723,N,25.96623,-80.19921,919269.5434,594222.1188,,1970/01/01 00:00:00+00,ABREUI,2016/12/19 09:10:40+00
