OBJECTID,PZIPCODEID,ZIP,ZIPCODE,GlobalID,SHAPE_Length,SHAPE_Area
1,33035,33035,33035,{FF9A785D-0F71-4541-9951-9C8D439B42C6},85419.8929418672,291742760.542746
2,33010,33010,33010,{FF56A32A-B713-4ACF-BA60-E7A24DAADADC},19851.5400628787,13170509.9266934
3,33154,33154,33154,{E0EB98AC-FACD-48B0-8A7E-7E4DFD1AFBF0},15339.7706890166,10036691.5082316
4,33037,33037,33037,{7A7E3954-A67A-4DAC-940F-89D62D9AA090},3500.64962682056,547077.825351754
5,33116,33116,33116,{8947A873-8AE0-4D30-98A1-E36163E1673C},802.531871107828,30251.1323198721
6,33197,33197,33197,{E0FB9AC1-9C6E-4DB5-A7C6-0B1EE28B19BD},651.339177838484,22150.2153319862
7,33153,33153,33153,{C6ADBBD2-6FB5-4956-8029-B865FEC21237},110.40484565066,487.141610532705
8,33283,33283,33283,{B5E4EF17-E10B-4ADD-8CA1-DA950B877D3E},97.2009446472347,315.664778455436
9,33140,33140,33140,{B97AC48F-7A2A-42A3-B2F1-BCC449AD55C0},23553.9146646895,29687395.3797097
10,33101,33101,33101,{92B69691-B2E8-4983-ADBE-6F386D794AE3},607.543147770103,21930.0936156691
11,33109,33109,33109,{E2C4F55D-BA57-46B7-9900-362089974494},7248.69045256333,2395340.46437362
12,33147,33147,33147,{92F09D28-8337-4A8C-A0C2-8DF25D107A81},21148.2853698555,23572864.1042981
13,33192,33192,33192,{A68FB423-235C-46F4-A214-9959C000BB46},23590.9741415397,31091158.6084019
14,33018,33018,33018,{3645ED40-7316-49F6-81D5-2E174B3D93D8},38504.8766661001,71384024.6926406
15,33034,33034,33034,{576CE373-CF29-4A9D-9AD6-50F520E8C0DA},82028.9709524423,369211271.905544
16,33015,33015,33015,{122F9FEF-95E5-416A-889D-FC7620955950},19459.7852597581,20874771.6599255
17,33016,33016,33016,{9999A8CA-DFEB-4C63-AED6-BF11CAD1A950},20898.4746463792,15034500.9689561
18,33155,33155,33155,{CE78CF1A-70E2-4793-9739-A605D14D173E},26388.7816508258,25859743.6555576
19,33146,33146,33146,{C5719D51-F085-4741-9C07-82507C6BDF16},17398.9728882563,10434205.0438535
20,33181,33181,33181,{501BE54E-8807-4E83-AB43-6878A87B129F},17540.5671736576,15413268.7432164
21,33039,33039,33039,{40A4D6B3-4CC3-4E98-A223-7A259CE38644},18387.1114474245,9367731.05772278
22,33178,33178,33178,{B271A7EB-EFEF-4141-A476-5064458798E0},62870.3240302575,198785703.249937
